P8;"Does the national strategy/policy outline measures to support the reuse of Open Data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Decree 835 establishes among other things Principles For Improved Governance & Citizen Engagement and For Inclusive Development & Innovation. The last is defined as granting by data providers support and assistance in creating new information resources and services based on public information in the form of Open Data. It also sets definition of a term ""permanent applicability"" - ensuring the use of public information in the form of Open Data by public authorities and local governments in the exercise of their powers.
Realization of the Principle For Improved Governance & Citizen Engagement of Open Data Strategy provides for:
Promotion of the use of the Open Data by public bodies;
Cooperation with NGOs and business  on the creation and promotion of visualizations, tools and analytical materials based on Open Data;
Promotion of the development of skills in the use of Open Data by NGOs and other civil society organisations;
Organization of informational and educational activities for the leadership of public authorities and local governments on the development of the effective Open Data programs in their government bodies.
One of the goals of new Open Data Strategy  is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the public sector";Complement;Yes;"Decree 835 establishes among other things Principles For Improved Governance & Citizen Engagement and For Inclusive Development & Innovation. The last is defined as granting by data providers support and assistance in creating new information resources and services based on Open Data. It also sets definition of a term ""permanent applicability"" - ensuring the use of Open Data by public authorities and local governments in the exercise of their powers.
Perfomance of the Principle For Improved Governance & Citizen Engagement of Open Data Strategy provides for:
Promotion of the use of the Open Data by public bodies;
Cooperation with NGOs and business on the creation and promotion of visualizations, tools and analytical materials based on Open Data;
Promotion of the development of skills in the use of Open Data by NGOs and other civil society organisations;
Organization of informational and educational activities for the leadership of public authorities and local governments on the development of the effective Open Data programs in their government bodies.
One of the goals of the draft of Open Data Strategy is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the public sector.
https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf 
In addition, the draft of the Strategy for the development of Open Data for 2025-27 provides for the provision that the revision of the current legislation on Open Data, including legislative acts regulating, in particular, the reuse of data, should become a key stage in the implementation of the Strategy. In order to implement this task, it is planned to prepare systemic changes to the legislation to eliminate obstacles to access to public information and its use as Open Data. Reuse will also be ensured by increasing the quality, interoperability, quantity and completeness of Open datasets and associated metadata, which is Strategic Goal 2. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf ";;;;;;;;;;;;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of Open Data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"One of the goals of new Open Data Strategy is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the private sector. It will include the following subgoals: the functionality of the Portal allows ordinary users to use its capabilities having basic technical skills; the Portal has implemented several channels of user interaction with data providers and the holder of the Portal; dynamic data, which is in high demand in society, is updated at the time of creation and measures to achieve those subgoals.
Also as a measure to support the re-use of Open Data by priviate sector is the online course Open Data for Business that was created on the national platform of the digital education - https://osvita.diia.gov.ua/courses/opendata";Complement;Yes;"One of the goals of new Open Data Strategy is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the private sector. It will include the following subgoals: the functionality of the Portal allows ordinary users to use its capabilities having basic technical skills; the Portal has implemented several channels of user interaction with data providers and the holder of the Portal; dynamic data, which is in high demand in society, is updated at the time of creation and measures to achieve those subgoals.
https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf

Also as a measure to support the re-use of Open Data by priviate sector is the online course Open Data for Business that was created on the national platform of the digital education - https://osvita.diia.gov.ua/courses/opendata. The ""Open Data Advocacy"" series was also launched https://osvita.diia.gov.ua/courses/open-data-advocation.
 
In addition, the draft of the Strategy for the development of Open Data for 2025-27 provides for the provision that the revision of the current legislation on Open Data, including legislative acts regulating, in particular, the reuse of data, should become a key stage in the implementation of the Strategy. In order to implement this task, it is planned to prepare systemic changes to the legislation to eliminate obstacles to access to public information and its use as Open Data. Reuse will also be ensured by increasing the quality, interoperability, quantity and volume of Open Data sets and associated metadata, which is Strategic Goal 2. Also, Task 6 of Strategic Goal 5 is to facilitate hackathons, competitions and support programs for projects based on on Open Data. In order to implement this task, it is envisaged to provide assistance in the organization of competitions to support acceleration and incubation programs for businesses and representatives of civil society working in the field of Open Data; provide support for the organization of hackathons for students and post-graduate students, businesses and civil society representatives who carry out their activities in the field of Open Data; provide support for the organization of grant contests for civil society to develop and increase the use and popularization of gender-disaggregated data in their activities. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf   
In order to increase the transparency of state institutions to solve socio-economic problems and to support innovative projects, grant competitions for startups are organized based on Open Data.
In June 2023, the competition ""Open Data. Unbroken"" together with OSCE was organized. https://www.openunbroken.org/. Winners: ""Where's the shelter?"" — a chatbot for finding the nearest bomb shelter in Ukraine. https://shelteruabot.com/. ""VPO Nazar"" is a chatbot to help internally displaced persons integrate into a new environment https://citybot.pro/vpo. ""Plant Varieties"" is an information aggregator that brings together resources such as Plant Varieties and Controlled Pesticides https://agrarii-razom.com.ua/. 
Also in November 2023 the competition ""Open Datathon reUkraine"" together with TAPAS project was organized https://datathon.data.gov.ua/. Among the winners of the competition is the service for providing access to public registers for citizens and businesses ""Opendatabot"" https://opendatabot.ua/, the solution for finding barrier-free locations ""Dostupno!"" from the Ukrainian Center for Social Data https://dostupno.ua/mapa-dostupnosti/, chatbot ""I'll be a mother"" from the ""Liky Kontrol"" team https://chats.viber.com/iwillbemother_bot, a system of dashboards with analytics from the Clarity Project — Clarity Hromada https://clarity-project.info/hromada.
In addition ""Open Data Hackathon"" with support of DTA project is running now. More than 230 applications for participation were received. https://www.opendatatech.org/hackathon. ";;;;;;;;;;;;;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"According to legislation, all public bodies must publish the result of data inventory on data.gov.ua. 
Legislation establishes the definition of the term ""information audit"" - the process of analysis by the data provider on the availability, status, formats, management processes and use of all information in his possession. An information audit is mandatory and is performed at least once a year.
The methodology of information audit is approved by the central executive body, which ensures the formation and implementation of state policy in the field of Open Data - Ministry of Digital Transformation.
The results of the information audit of the data provider are subject to mandatory publication on the National portal as a separate dataset.                                                                                                                                                                                                                  One of the modules of the Open Data for Civil Servants curriculum is devoted exclusively to the methodology of auditing Open Data, which is mandatory for all data providers and should be conducted at least once a year. more than 18,000 civil servants successfully completed the training program in 2020-2021";Complement;Yes;"According to legislation, all public bodies must publish the result of data inventory on data.gov.ua. 
Legislation establishes the definition of the term ""information audit"" - the process of analysis by the data provider on the availability, status, formats, management processes and use of all information in his possession. An information audit is mandatory and is performed at least once a year.
The methodology of information audit is approved by the central executive body, which ensures the formation and implementation of state policy in the field of Open Data - Ministry of Digital Transformation.
The results of the information audit of the data provider are subject to mandatory publication on the National portal as a separate dataset.                                                                                                                                                                                                                  One of the modules of the Open Data for Civil Servants curriculum is devoted exclusively to the methodology of auditing Open Data, which is mandatory for all data providers and should be conducted at least once a year. More than 67,000 civil servants watched the series.
One of the measures to implement the goals of the project of Strategy for Development Open Data for 2025-27 is the creation of an online course to improve the skills of civil servants and employees of local self-government bodies in conducting information audits (page 19). https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf.
Examples of datasets with the results of information audits published by providers: https://data.gov.ua/en/dataset/b687989b-aaef-4d8b-9ea3-56b03a684673, https://data.gov.ua/dataset/2396df9f-41b9-4b53-9064-91f2c36e8ccc, https://data.gov.ua/en/dataset/a9c3c00a-a176-4cc3-91cb-9bcce1e14e28/resource/88a34d3d-647e-41d7-ba0a-683994abef6f.
Decree № 409 also approved the Procedure for annual assessment of the state of publication and updating of Open Data by data providers on the Unified State Web Portal of Open Data. The purpose of the evaluation is to determine the state of compliance by data providers with the requirements of the Regulation on data sets that are subject to publication in the form of Open Data. The evaluation is carried out every year in two stages: a survey of data providers; analysis of survey results and determination of assessment. https://zakon.rada.gov.ua/laws/show/409-2019-%D0%BF#Text ";;;;;;;;;;;;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as Open Data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"In accordance with the legislation, data providers shall perform information audit of all information in their possession - both that can be published as Open Data and vice versa.
Moreover, due to the ""open by default principle"", all public information is open. It means, that though containing, for example, personal data, dataset shall nevertheless be published as Open Data with anonymisation of such personal data.";Confirm;;;;;;;;;;;;;;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Not Applicable;The Decree № 835 revised the definition of high-value data sets, and also indicated which areas are priorities within the process of implementation of the policy in the field of Open Data. The publication of datasets in the spheres of justice, judiciary, health care, ecology and environmental protection, transport and infrastructure, finance and taxes is a priority area of ;;;;;;;;;;;;;;;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;;;;;;;;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;;;;;;;;;;;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;;;;;;;;;;;;;;
P11-a;Geospatial;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;
P11-b;Earth observation and environment;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;
P11-c;Meteorological;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;
P11-d;Statistics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;
P11-e;Companies and company ownership;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;
P11-f;Mobility;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;;;;;;;;;;;;;;;;;;;;
;1.2 Governance of Open Data;;;;;;;;;;;;;;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various Open Data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"The Ministry of Digital Transformation of Ukraine is the main body responsible for the development of Open Data; ensures coordination of the publication of datasets on the portal by data providers and promotes their quality improvement.
The Data+ communication platform was created with the assistance of the Ministry of Digital Transformation of Ukraine, which was publicly presented on May 29, 2024. Within the framework of the operation of Data+, regular meetings are held with stakeholders in the field: the Ministry of Digital Transformation of Ukraine, the Ombudsman of Ukraine, data providers, experts, civil society, etc. The first meeting of participants of this platform will take place at the end of June 2024.
The first user satisfaction and demand for Open Data survey was launched on June 3, 2024. The survey is targeted towards representatives of businesses, civil servants, civil society organizations (CSOs), and the media. The collected information will help to identify gaps in Open Data and plan the framework of the Data+ platform for cooperation between MDT and stakeholders. It will also include feedback on the functionality of the Unified Open Data Portal (UODP) and what type of unpublished Open Data is important and should be made accessible. The survey is expected to conclude at the end of June 2024.  
https://www.facebook.com/share/p/dLsKweKw8m12TPhT/?
In January 2024, a survey of users of the Unified State Web Portal of Open Data was conducted to determine the needs of data users https://docs.google.com/forms/d/e/1FAIpQLScwiBCSqO3Byx8fcZlpujEbrm3DWYeuiMyd9YfyBrC2wpb4ew/viewform.
https://docs.google.com/forms/d/e/1FAIpQLSdXGQ11Jrx9zvBU_X_7BYVENqKRBgdf0WyxndbRy5zL6-TMLg/viewform - the survey for data users is conducted to determine the priorities of the Ministry of Digital Transformation in the field of Open Data and planning the operation of the Data+ communication platform.
During the research on the role of Open Data in the transition to a circular and low-carbon economy, researchers took into account business needs through surveys to develop standards for 16 datasets. https://diia.data.gov.ua/news/opublikovano-doslidzennya-roli-vidkritix-danix-u-perexodi-do-cirkulyarnoyi-ta-nizkovuglecevoyi-ekonomiki. 
During the preparing of the Open Data development strategy for 2025-2027, a survey of stakeholders was conducted: https://docs.google.com/document/d/1l_V8V8pJi_3MMbx5KEbb6Gg-RIR0CYaJLcOJX0OwJ9o/edit.";;;;;;;;;;;;;;;;;;;
